Vehicle Make;Vehicle Model;Vehicle Description;Vehicle Price including VAT;Vehicle Kind;Vehicle CO2;Fuel Type;Maximum Weight
VO;S90200604A8DZ6L;VOLVO S90           D4 Inscription aut                      ;4.88E+11;V;116;D;2270
VO;S90200A04A8DZ6L;VOLVO S90           D4 Momentum aut                         ;4.15E+11;V;116;D;2270
ME;SPR300104M6DV7F;MERCEDES-BENZ SPRINT319CDI 4x4-3,5/43K extrapitk� A4        ;6.765E+11;U;268;D;3500
ME;SPR300104A5DV7F;MERCEDES-BENZ SPRINT319CDI 4x4-3,5/43K extrapitk� A4 A      ;6.925E+11;U;257;D;3500
ME;VIT210604A7DV7F;MERCEDES-BENZ VITO  114CDI-3,05/32K normaali A1 A           ;3.835E+11;U;158;D;3050
ME;VIT210004M6DM7F;MERCEDES-BENZ VITO  114CDI-3,05/32KB keskipitk� A2          ;4.23E+11;V;164;D;3100
ME;VIT210L04A7DV7F;MERCEDES-BENZ VITO  119CDI 4x4-3,05/32K normaali A1 A       ;4.865E+11;U;174;D;3050
ME;SPR210304M6DM7F;MERCEDES-BENZ SPRINT214CDI-3,2/37 KB keskipitk� A2          ;4.76E+11;V;182;D;3190
ME;SPR210204A7DM7F;MERCEDES-BENZ SPRINT214CDI-3,2/37 KB keskipitk� A2 A        ;5.01E+11;V;173;D;3190
ME;SPR210002A5DV7F;MERCEDES-BENZ SPRINT316CDI 4x4-3,5/37AL keskipitk� A2 A     ;6.075E+11;U;238;D;3500
ME;SPR210104M6DV7F;MERCEDES-BENZ SPRINT316CDI 4x4-3,5/37K keskipitk� A2        ;6.02E+11;U;216;D;3500
ME;SPR210004A5DV7F;MERCEDES-BENZ SPRINT316CDI 4x4-3,5/37K keskipitk� A2 A      ;6.18E+11;U;238;D;3500
VO;S90200B04A8DZ6L;VOLVO S90           D4 R-Design aut                         ;4.88E+11;V;116;D;2270
VO;S90200304A8BZ6L;VOLVO S90           T5 Business aut                         ;4.2E+11;V;149;B;2260
VO;S90200G04A8DZ6L;VOLVO S90           D5 AWD Business aut                     ;4.75E+11;V;127;D;2360
